185.62.230.0/24 #AS215713 UEC-AUK United Education Company CJSC, KW
210.181.176.0/23 #AS9859 CCCC-AS ChungCheong University, KR
210.181.178.0/24 #AS9859 CCCC-AS ChungCheong University, KR
218.151.114.0/23 #AS9859 CCCC-AS ChungCheong University, KR
218.151.116.0/24 #AS9859 CCCC-AS ChungCheong University, KR
220.67.108.0/23 #AS9859 CCCC-AS ChungCheong University, KR
220.67.110.0/24 #AS9859 CCCC-AS ChungCheong University, KR
203.232.161.0/24 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.232.162.0/23 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.232.180.0/23 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.232.186.0/24 #AS55611 KYUNGMIN-AS kyungmin university, KR
203.249.38.0/24 #AS55611 KYUNGMIN-AS kyungmin university, KR
103.134.16.0/24 #AS138142 IDNIC-IIBDJ-AS-ID Institut Informatika & Bisnis Darmajaya, ID
128.10.0.0/16 #AS17 PURDUE Purdue University, US
128.46.0.0/16 #AS17 PURDUE Purdue University, US
128.210.0.0/15 #AS17 PURDUE Purdue University, US
192.5.40.0/24 #AS17 PURDUE Purdue University, US
192.12.63.0/24 #AS17 PURDUE Purdue University, US
192.31.0.0/24 #AS17 PURDUE Purdue University, US
192.101.255.0/24 #AS62867 ALDINEISD-ASN01 Aldine Independent School District, US
130.87.0.0/16 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.112.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.153.114.0/24 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
202.13.192.0/19 #AS2505 HEPNET-J High Energy Accelerator Research Organization KEK, JP
192.42.74.0/24 #AS393690 AS-MARITIME Massachusetts Maritime Academy, US
147.64.0.0/16 #AS398564 EUP-SCOTS-NET Pennsylvania Western University, US
204.235.172.0/23 #AS398564 EUP-SCOTS-NET Pennsylvania Western University, US
170.210.222.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.14.116.0/24 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
200.124.176.0/21 #AS52314 UNIVERSIDAD-NACIONAL-NOROESTE Universidad Nacional del Noroeste de Buenos Aires (UNNOBA), AR
162.210.246.0/23 #AS27295 LISD Lewisville Independent School District, US
133.4.0.0/18 #AS55384 JAIST-EXP Japan Advanced Institute of Science and Technology, JP
195.114.28.0/23 #AS41346 QUDSU AL-Quds University, IL
152.157.64.0/20 #AS27183 NSD417 Northshore School District, US
64.107.54.0/24 #AS395068 MCHENRYCOUNTYCOLLEGEASN McHenry County College District 528, US
189.90.64.0/20 #AS28193 UNIVERSIDADE-ESTADUAL-LONDRINA UNIVERSIDADE ESTADUAL DE LONDRINA, BR
191.52.64.0/18 #AS28193 UNIVERSIDADE-ESTADUAL-LONDRINA UNIVERSIDADE ESTADUAL DE LONDRINA, BR
80.94.16.0/20 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
212.14.48.0/20 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
213.155.160.0/19 #AS13119 ACI-COM-AS Zachodniopomorski Uniwersytet Technologiczny w Szczecinie Akademickie Centrum Informatyki, PL
173.240.224.0/20 #AS12268 ETOWNCOLLEGE-ASN Elizabethtown College, US
103.198.52.0/23 #AS134722 UTEM-AS-AP Universiti Teknikal Malaysia Melaka, MY
140.78.0.0/16 #AS1205 JKU-LINZ-AS University Linz, AT
192.107.124.0/23 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.172.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
193.186.176.0/22 #AS1205 JKU-LINZ-AS University Linz, AT
131.204.0.0/16 #AS6112 AUBURN Auburn University, US
197.154.0.0/16 #AS37467 ETHERNET Ethiopian Educational Research Network (EthERNet), ET
94.184.84.0/22 #AS202571 KHARAZMI-AS Kharazmi University, IR
185.160.104.0/22 #AS202571 KHARAZMI-AS Kharazmi University, IR
204.108.188.0/23 #AS398774 CUP-3 Pennsylvania Western University, US
209.250.192.0/19 #AS398774 CUP-3 Pennsylvania Western University, US
1.237.134.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
1.238.1.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
14.34.156.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
14.38.104.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
114.71.197.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
121.135.53.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
121.135.54.0/23 #AS38697 MOK9882-AS Hankyong National Univercity, KR
121.135.56.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
220.66.22.0/23 #AS38697 MOK9882-AS Hankyong National Univercity, KR
220.67.137.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
220.68.240.0/22 #AS38697 MOK9882-AS Hankyong National Univercity, KR
220.68.244.0/23 #AS38697 MOK9882-AS Hankyong National Univercity, KR
220.94.160.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
221.150.196.0/24 #AS38697 MOK9882-AS Hankyong National Univercity, KR
103.108.87.0/24 #AS137301 IDNIC-POLTEKKESYK-AS-ID POLTEKKES KEMENKES YOGYAKARTA, ID
112.137.128.0/20 #AS45542 VNU-AS-VN VietNam National University Ha Noi, VN
38.116.198.0/23 #AS11703 MARS-DISCOVERY-DISTRICT MaRS Discovery District, CA
148.231.0.0/16 #AS16596 UNIVERSIDAD-AUTONOMA-BAJA Universidad Autonoma del Estado de Baja California, MX
103.101.238.0/24 #AS137003 INSEAD1-AS-AP INSEAD, SG
185.216.95.0/24 #AS137003 INSEAD1-AS-AP INSEAD, SG
102.223.254.0/24 #AS328663 CATHOLIC-UNIVERSITY-GHANA Catholic University of Ghana (Fiapre) (CUG), GH
78.40.222.0/24 #AS210989 VAC Private institution of culture Museum Victoria - the Art of Being Contemporary, RU
128.231.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
137.187.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
156.40.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
157.98.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
162.99.224.0/19 #AS3527 NIH-NET National Institutes of Health, US
165.112.0.0/16 #AS3527 NIH-NET National Institutes of Health, US
192.231.145.0/24 #AS3527 NIH-NET National Institutes of Health, US
192.231.146.0/23 #AS3527 NIH-NET National Institutes of Health, US
170.210.72.0/22 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
207.248.74.0/23 #AS61486 UNIVERSIDAD-NACIONAL-QUILMES Universidad Nacional de Quilmes, AR
103.140.98.0/23 #AS139251 JAHANGIRNAGAR-AS-AP Jahangirnagar University, BD
192.231.122.0/23 #AS23191 LEMOYNE Le Moyne College, US
192.231.124.0/23 #AS23191 LEMOYNE Le Moyne College, US
195.251.152.0/21 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
195.251.160.0/20 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
195.251.184.0/21 #AS8617 UNIVERSITY-OF-THE-AEGEAN University of the Aegean, GR
199.79.56.0/22 #AS32955 TAMUT-MAIN Texas A&M University-Texarkana, US
161.21.0.0/16 #AS63102 MESSA-AS Michigan Education Special Services Association, US
204.203.92.0/24 #AS12204 SCN-NET SCN Research Inc., US
205.238.25.0/24 #AS12204 SCN-NET SCN Research Inc., US
205.238.26.0/23 #AS12204 SCN-NET SCN Research Inc., US
192.12.83.0/24 #AS1852 UCDC-NET University of California - Office of the President, US
143.108.0.0/16 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.6.42.0/24 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.10.178.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.18.48.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.18.110.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.18.240.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.19.80.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.19.224.0/22 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.19.228.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.16.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.32.0/19 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.64.0/19 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.96.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.160.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.176.0/24 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.182.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.136.184.0/22 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.32.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.64.0/21 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.78.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.80.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.118.0/23 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.120.0/21 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
200.144.128.0/20 #AS1251 FUNDACAO-AMPARO-PESQUISA FUNDAÇÃO DE AMPARO À PESQUISA DO ESTADO SÃO PAULO, BR
128.144.0.0/20 #AS542 ARNET Alberta Research Council, CA
144.81.10.0/23 #AS16681 ETS Educational Testing Service, US
144.81.53.0/24 #AS16681 ETS Educational Testing Service, US
144.81.54.0/24 #AS16681 ETS Educational Testing Service, US
144.81.85.0/24 #AS16681 ETS Educational Testing Service, US
144.81.97.0/24 #AS16681 ETS Educational Testing Service, US
144.81.111.0/24 #AS16681 ETS Educational Testing Service, US
144.81.127.0/24 #AS16681 ETS Educational Testing Service, US
27.124.76.0/23 #AS152036 IDNIC-PPIMADIUN-AS-ID Politeknik Perkeretaapian Indonesia Madiun, ID
143.111.0.0/16 #AS11773 UTMDACC The University Of Texas M.D. Anderson Cancer Center, US
192.108.242.0/24 #AS11773 UTMDACC The University Of Texas M.D. Anderson Cancer Center, US
67.218.222.0/24 #AS395844 LUSD LUSD, US
103.10.233.0/24 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
103.196.108.0/23 #AS132003 VUW-SOFTNETLAB-AP Victoria University of Wellington, NZ
198.174.0.0/24 #AS33455 NORTHWESTERN-COLLEGE-STPAUL-MN University of Northwestern, US
199.86.72.0/21 #AS33455 NORTHWESTERN-COLLEGE-STPAUL-MN University of Northwestern, US
192.107.38.0/24 #AS40149 UBNET1-AS University of Bridgeport, US
216.87.96.0/19 #AS40149 UBNET1-AS University of Bridgeport, US
66.198.226.0/24 #AS398737 INTELLIVOICE IntelliVoice, US
173.252.136.0/24 #AS398737 INTELLIVOICE IntelliVoice, US
148.201.0.0/16 #AS1831 ITESO-AC ITESO A.C., MX
185.94.56.0/22 #AS200836 CND-ASN Centre National de la Danse, FR
72.35.208.0/20 #AS401965 SAU-AS Southern Arkansas University, US
192.231.213.0/24 #AS401965 SAU-AS Southern Arkansas University, US
208.87.4.0/22 #AS23176 BASICRESEARCH Basic Research LLC, US
70.164.115.0/24 #AS397149 SDSU-SNAPDRAGON San Diego State University, US
130.254.0.0/19 #AS18759 SAV-AS Georgia Southern University, US
130.254.128.0/17 #AS18759 SAV-AS Georgia Southern University, US
141.165.0.0/16 #AS18759 SAV-AS Georgia Southern University, US
103.154.74.0/24 #AS140480 IDNIC-ITK-AS-ID Institut Teknologi Kalimantan, ID
103.198.129.0/24 #AS140480 IDNIC-ITK-AS-ID Institut Teknologi Kalimantan, ID
198.133.178.0/23 #AS4869 CNMCC Central New Mexico Community College, US
198.133.180.0/22 #AS4869 CNMCC Central New Mexico Community College, US
202.125.110.0/24 #AS55485 TWWOA-AS-NZ Te Whare Wananga o Awanuiarangi, NZ
194.42.116.0/23 #AS31646 ASN-WSHE Akademia Humanistyczno-Ekonomiczna w Lodzi, PL
103.103.238.0/24 #AS137073 TTOTSGS-AS-AP THE TRUSTEES OF THE SYDNEY GRAMMAR SCHOOL, AU
181.224.197.0/24 #AS272067 UNIVERSIDAD-ESTATAL-BOLIVAR Universidad Estatal de Bolivar, EC
213.135.32.0/21 #AS15665 WOLA-AS Instytut Geofizyki PAN, PL
213.135.40.0/23 #AS15665 WOLA-AS Instytut Geofizyki PAN, PL
192.106.196.0/23 #AS5502 NATO-SACLANT-UNDERSEA NATO SACLANT Undersea Research Centre, IT
168.232.48.0/22 #AS264720 UNIVERSIDAD-EL-SALVADOR UNIVERSIDAD DE EL SALVADOR, SV
131.225.0.0/16 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
192.190.216.0/22 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
198.49.208.0/24 #AS3152 FNAL-AS Fermi National Accelerator Laboratory (Fermilab), US
194.106.194.0/23 #AS9124 IKBFU Federal State Educational Institution of Higher Professional Education Russian State University of Immanuil Kant, RU
76.165.0.0/16 #AS396992 LCTCS-BRHQ LOUISIANA COMMUNITY AND TECHNICAL COLLEGE SYSTEM, US
137.154.0.0/16 #AS10079 UNIWESTSYD-AS-AP University of Western Sydney, AU
202.244.32.0/21 #AS63783 CUC Chiba University of Commerce, JP
46.30.224.0/21 #AS51539 ASN-AUIS-NET The American University of Iraq-Sulaimani, IQ
164.104.0.0/16 #AS54060 POUDRESCHOOLDISTRICT Poudre School District R-1, US
144.91.0.0/18 #AS54654 MILLSCOLLEGE Mills College, US
62.93.32.0/19 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.196.0/22 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.200.0/21 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.208.0/21 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
89.188.216.0/22 #AS25468 PL-POLRZE-AS Rzeszow University of Technology, PL
157.242.0.0/16 #AS25789 LMU Loyola Marymount University, US
45.94.212.0/24 #AS49228 HUOM Hormozgan University Of Medical Sciences, IR
45.155.128.0/24 #AS212795 SIT-ATHENE Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
45.155.130.0/24 #AS212795 SIT-ATHENE Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
158.220.128.0/17 #AS212795 SIT-ATHENE Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
193.162.137.0/24 #AS212795 SIT-ATHENE Fraunhofer-Gesellschaft zur Foerderung der angewandten Forschung e.V., DE
185.96.240.0/22 #AS204001 YAZDUNI Yazd University, IR
38.105.194.0/24 #AS18564 SJU149068 St. John's University New York, US
38.108.196.0/24 #AS18564 SJU149068 St. John's University New York, US
149.68.0.0/16 #AS18564 SJU149068 St. John's University New York, US
83.212.28.0/22 #AS12402 UOPIRAEUS University of Piraeus, GR
83.212.236.0/22 #AS12402 UOPIRAEUS University of Piraeus, GR
195.251.224.0/21 #AS12402 UOPIRAEUS University of Piraeus, GR
195.251.236.0/23 #AS12402 UOPIRAEUS University of Piraeus, GR
207.68.196.0/22 #AS394241 CUSD186 Murphysboro Community Unit School District No. 186, US
212.15.224.0/19 #AS60314 IMI-AS Institut Municipal d'Informatica (IMI), ES
203.23.105.0/24 #AS137864 RCPA-AS-AP Royal College of Pathologists of Australasia, AU
194.225.184.0/21 #AS47981 IUMS-AS Iran University of Medical Sciences, IR
114.70.170.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.70.172.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.64.0/20 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.80.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
114.71.82.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
202.30.48.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.243.41.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.243.42.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
203.255.216.0/22 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.66.236.0/22 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.66.240.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.157.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.158.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.160.0/21 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.168.0/23 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.67.170.0/24 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
220.69.224.0/20 #AS18034 KANGNUNG-AS Gangneung-Wonju National University, KR
117.16.170.0/23 #AS18329 SMUC-AS Sangmyung University, KR
117.16.172.0/22 #AS18329 SMUC-AS Sangmyung University, KR
203.230.192.0/22 #AS18329 SMUC-AS Sangmyung University, KR
203.230.196.0/23 #AS18329 SMUC-AS Sangmyung University, KR
203.230.198.0/24 #AS18329 SMUC-AS Sangmyung University, KR
203.237.176.0/21 #AS18329 SMUC-AS Sangmyung University, KR
203.237.201.0/24 #AS18329 SMUC-AS Sangmyung University, KR
211.229.180.0/22 #AS18329 SMUC-AS Sangmyung University, KR
220.67.144.0/23 #AS18329 SMUC-AS Sangmyung University, KR
220.67.146.0/24 #AS18329 SMUC-AS Sangmyung University, KR
185.190.28.0/23 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
193.188.128.0/22 #AS12812 ASN-AUBNET AMERICAN UNIVERSITY of BEIRUT, LB
192.107.136.0/21 #AS54933 AUSTINISD-AS-1 Austin Independent School District, US
49.128.108.0/22 #AS55446 CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS, IN
196.1.105.0/24 #AS55446 CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS, IN
196.1.106.0/24 #AS55446 CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS, IN
196.1.110.0/23 #AS55446 CENTDEVTEL-NON-AS-AP CENTRE FOR DEVELOPMENT OF TELEMATICS, IN
133.91.0.0/16 #AS23623 CHUO-U Chuo University, JP
103.71.4.0/23 #AS131872 IITP-AS IITP, KR
164.8.0.0/16 #AS50195 UM Univerza v Mariboru, SI
137.37.0.0/16 #AS55282 SUNYCANTON-AS State University of New York College of Technology at Canton, US
103.37.48.0/22 #AS132905 ADDU-AS-AP Ateneo de Davao University, PH
160.129.0.0/16 #AS393529 VUMC Vanderbilt University Medical Center, US
202.29.86.0/24 #AS149503 MBU-AS-UNINET-AP Office of Info.Tech. Admin. for Educational Development, TH
192.245.88.0/24 #AS393216 UCC-EDU-AS Union County College, US
8.27.78.0/24 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
24.38.86.0/24 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
198.148.152.0/23 #AS55209 HACKENSACKUMC Hackensack University Medical Center, US
103.126.36.0/22 #AS138462 RUET-AS-AP Rajshahi University of Engineering & Technology (RUET), BD
185.200.112.0/24 #AS42014 CHUMACHENKO Chumachenko Dmytro Stepanovych, UA
213.174.21.0/24 #AS42014 CHUMACHENKO Chumachenko Dmytro Stepanovych, UA
103.221.252.0/22 #AS135524 UNIVERSITYOFDHAKA-AS-AP university of dhaka, BD
211.225.30.0/23 #AS17856 KONYANG-AS Konyang University, KR
211.225.32.0/21 #AS17856 KONYANG-AS Konyang University, KR
220.83.237.0/24 #AS17856 KONYANG-AS Konyang University, KR
220.123.79.0/24 #AS17856 KONYANG-AS Konyang University, KR
220.123.126.0/23 #AS17856 KONYANG-AS Konyang University, KR
222.118.152.0/23 #AS17856 KONYANG-AS Konyang University, KR
222.118.154.0/24 #AS17856 KONYANG-AS Konyang University, KR
190.169.0.0/16 #AS19192 UNIVERSIDAD-CENTRAL-VENEZUELA Universidad Central de Venezuela, VE
198.182.157.0/24 #AS40722 CALARTS California Institute of the Arts, US
208.91.116.0/23 #AS40722 CALARTS California Institute of the Arts, US
208.91.118.0/24 #AS40722 CALARTS California Institute of the Arts, US
144.75.0.0/16 #AS14169 VMI-ASN Virginia Military Institute, US
82.202.0.0/18 #AS6740 INEXT-CZ-ADA CEZNET s.r.o., CZ
185.193.128.0/22 #AS6740 INEXT-CZ-ADA CEZNET s.r.o., CZ
212.90.224.0/19 #AS6740 INEXT-CZ-ADA CEZNET s.r.o., CZ
213.235.64.0/18 #AS6740 INEXT-CZ-ADA CEZNET s.r.o., CZ
201.131.56.0/22 #AS28563 INSTITUTO-NACIONAL-SALUD Instituto Nacional de Salud Pública, MX
192.100.55.0/24 #AS20306 ADELPHI Adelphi University, US
192.147.12.0/24 #AS20306 ADELPHI Adelphi University, US
192.160.130.0/23 #AS20306 ADELPHI Adelphi University, US
83.118.101.0/24 #AS133328 AWN-BANGKOK-PATANA-SCHOOL-AS-AP Bangkok Patana School, TH
110.170.144.0/24 #AS133328 AWN-BANGKOK-PATANA-SCHOOL-AS-AP Bangkok Patana School, TH
74.207.32.0/19 #AS46115 LUTHER Luther College, US
192.203.196.0/24 #AS46115 LUTHER Luther College, US
198.133.77.0/24 #AS46115 LUTHER Luther College, US
114.70.61.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
114.70.62.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
114.70.64.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.41.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.42.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.44.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.48.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.51.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.53.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.54.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.56.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.60.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.62.0/23 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.64.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.69.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
128.134.70.0/24 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
210.207.36.0/22 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.0.0/19 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
223.194.32.0/20 #AS10088 KWANGWOON-AS KWANGWOON UNIVERSITY, KR
