148.81.0.0/16 #AS1887 NASK-ACADEMIC, PL
178.56.0.0/16 #AS5617 TPNET, PL
188.47.0.0/16 #AS5617 TPNET, PL
193.110.120.0/22 #AS5617 TPNET, PL
194.127.136.0/24 #AS5617 TPNET, PL
194.204.128.0/18 #AS5617 TPNET, PL
195.116.0.0/15 #AS5617 TPNET, PL
195.205.0.0/16 #AS5617 TPNET, PL
212.160.0.0/16 #AS5617 TPNET, PL
212.244.0.0/16 #AS5617 TPNET, PL
213.25.0.0/16 #AS5617 TPNET, PL
213.76.0.0/15 #AS5617 TPNET, PL
217.96.0.0/14 #AS5617 TPNET, PL
217.116.96.0/20 #AS5617 TPNET, PL
195.95.186.0/24 #AS5629 GRAL, PL
45.128.218.0/23 #AS6681 GIVEME-CLOUD, PL
89.150.33.0/24 #AS6681 GIVEME-CLOUD, PL
193.200.64.0/23 #AS6681 GIVEME-CLOUD, PL
195.191.234.0/23 #AS6681 GIVEME-CLOUD, PL
192.175.48.1/32 #AS6778 AS-EXATEL, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
89.174.75.0/24 #AS6873 LIBRUM-AS, PL
155.133.29.0/24 #AS6873 LIBRUM-AS, PL
193.104.156.0/24 #AS6873 LIBRUM-AS, PL
192.153.127.0/24 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
212.51.192.0/21 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
212.51.204.0/24 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
212.51.207.0/24 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
212.51.208.0/20 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
212.191.0.0/17 #AS8256 LODMAN-AS Metropolitan Area Network LODMAN, PL
149.156.0.0/16 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
185.92.50.0/24 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
192.86.14.0/24 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
192.245.169.0/24 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
193.193.64.0/21 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
195.150.224.0/19 #AS8267 CYFRONET-AS Metropolitan Area Network Autonomous System, PL
31.193.96.0/21 #AS8286 ACI-EDU-AS ZUT ACI Educational AS, PL
82.145.64.0/19 #AS8286 ACI-EDU-AS ZUT ACI Educational AS, PL
212.14.0.0/19 #AS8286 ACI-EDU-AS ZUT ACI Educational AS, PL
212.14.32.0/20 #AS8286 ACI-EDU-AS ZUT ACI Educational AS, PL
91.194.210.0/23 #AS8308 NASK-COMMERCIAL, PL
153.92.26.0/24 #AS8308 NASK-COMMERCIAL, PL
193.59.0.0/16 #AS8308 NASK-COMMERCIAL, PL
194.92.0.0/16 #AS8308 NASK-COMMERCIAL, PL
194.181.0.0/16 #AS8308 NASK-COMMERCIAL, PL
195.164.0.0/16 #AS8308 NASK-COMMERCIAL, PL
195.187.0.0/18 #AS8308 NASK-COMMERCIAL, PL
195.187.128.0/17 #AS8308 NASK-COMMERCIAL, PL
217.9.165.0/24 #AS8308 NASK-COMMERCIAL, PL
193.193.64.0/19 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
194.8.45.0/24 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
194.8.46.0/24 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
195.150.0.0/17 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
195.150.128.0/18 #AS8323 CYFRONET-AS2 Metropolitan Area Network Autonomous System, PL
46.239.128.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
82.146.224.0/19 #AS8326 PL-BYDMAN-EDU Educational Users, PL
89.191.128.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
212.122.192.0/20 #AS8326 PL-BYDMAN-EDU Educational Users, PL
212.122.208.0/21 #AS8326 PL-BYDMAN-EDU Educational Users, PL
195.216.96.0/19 #AS8364 POZMAN-COM POZMAN-COM, PL
212.126.0.0/19 #AS8364 POZMAN-COM POZMAN-COM, PL
5.172.224.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
31.0.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
31.6.246.0/24 #AS8374 PLUSNET Plus network operator in Poland, PL
37.98.208.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
37.109.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
37.152.16.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
37.247.128.0/17 #AS8374 PLUSNET Plus network operator in Poland, PL
37.248.0.0/16 #AS8374 PLUSNET Plus network operator in Poland, PL
46.76.0.0/15 #AS8374 PLUSNET Plus network operator in Poland, PL
78.30.64.0/18 #AS8374 PLUSNET Plus network operator in Poland, PL
87.251.224.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
92.60.128.0/20 #AS8374 PLUSNET Plus network operator in Poland, PL
185.4.212.0/22 #AS8374 PLUSNET Plus network operator in Poland, PL
188.125.32.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
193.41.112.0/23 #AS8374 PLUSNET Plus network operator in Poland, PL
212.2.96.0/19 #AS8374 PLUSNET Plus network operator in Poland, PL
91.213.88.0/24 #AS8380 TU-EUROPA-PL-AS1, PL
193.93.156.0/22 #AS8458 BLUENET-AS, PL
192.175.48.1/32 #AS8459 AS-NETIAX Warszawa 02-822, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
109.232.24.0/22 #AS8477 ECHOSTARPL-AS ZTS Echostar Studio Poznan Poland, PL
185.13.168.0/22 #AS8477 ECHOSTARPL-AS ZTS Echostar Studio Poznan Poland, PL
213.156.96.0/22 #AS8477 ECHOSTARPL-AS ZTS Echostar Studio Poznan Poland, PL
213.156.104.0/21 #AS8477 ECHOSTARPL-AS ZTS Echostar Studio Poznan Poland, PL
213.156.112.0/20 #AS8477 ECHOSTARPL-AS ZTS Echostar Studio Poznan Poland, PL
212.191.224.0/23 #AS8501 PIONIER-AS PIONIER, National Research and Education Network in Poland, PL
212.191.227.0/24 #AS8501 PIONIER-AS PIONIER, National Research and Education Network in Poland, PL
212.191.229.0/24 #AS8501 PIONIER-AS PIONIER, National Research and Education Network in Poland, PL
212.191.240.0/23 #AS8501 PIONIER-AS PIONIER, National Research and Education Network in Poland, PL
212.191.244.0/24 #AS8501 PIONIER-AS PIONIER, National Research and Education Network in Poland, PL
83.230.64.0/20 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
83.230.96.0/19 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
91.220.103.0/24 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
155.158.0.0/16 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
157.158.0.0/16 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
212.106.176.0/20 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
213.227.80.0/20 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
213.227.96.0/19 #AS8508 SILWEB-AS-EDU SILWEB Autonomous System - Academic, PL
80.252.0.0/20 #AS8535 AGORA, PL
193.42.228.0/22 #AS8535 AGORA, PL
194.149.228.0/22 #AS8535 AGORA, PL
192.175.48.1/32 #AS8545 ASN-PLIX Equinix Poland Sp. z o.o., PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
91.208.133.0/24 #AS8588 JD_ABRA_EU-AS, PL
193.219.28.0/24 #AS8664 ICM-PUB public network services, PL
212.87.16.0/20 #AS8664 ICM-PUB public network services, PL
213.135.43.0/24 #AS8664 ICM-PUB public network services, PL
213.135.50.0/23 #AS8664 ICM-PUB public network services, PL
213.135.52.0/22 #AS8664 ICM-PUB public network services, PL
213.135.56.0/21 #AS8664 ICM-PUB public network services, PL
81.21.192.0/21 #AS8726 KKI-BCI-AS, PL
81.21.200.0/22 #AS8726 KKI-BCI-AS, PL
81.21.204.0/23 #AS8726 KKI-BCI-AS, PL
81.21.207.0/24 #AS8726 KKI-BCI-AS, PL
194.145.96.0/20 #AS8766 SGH-PL Centrum Technologii Informatycznych i Infrastruktury, PL
212.69.64.0/21 #AS8798 AS-PAGI, PL
212.69.72.0/22 #AS8798 AS-PAGI, PL
212.69.76.0/24 #AS8798 AS-PAGI, PL
212.69.78.0/23 #AS8798 AS-PAGI, PL
212.69.80.0/23 #AS8798 AS-PAGI, PL
46.227.104.0/21 #AS8819 PL-METROINTERNET, PL
83.142.192.0/21 #AS8819 PL-METROINTERNET, PL
91.189.24.0/21 #AS8819 PL-METROINTERNET, PL
185.188.68.0/22 #AS8819 PL-METROINTERNET, PL
84.38.160.0/20 #AS8834 RESMAN, PL
37.128.152.0/21 #AS8865 ASN-BIAMAN-EDU MSK BIAMAN, PL
82.139.128.0/19 #AS8865 ASN-BIAMAN-EDU MSK BIAMAN, PL
82.139.168.0/21 #AS8865 ASN-BIAMAN-EDU MSK BIAMAN, PL
82.139.176.0/21 #AS8865 ASN-BIAMAN-EDU MSK BIAMAN, PL
212.33.64.0/19 #AS8865 ASN-BIAMAN-EDU MSK BIAMAN, PL
195.38.12.0/23 #AS8886 PGE-SYSTEMY-AS, PL
193.0.64.0/18 #AS8890 UW-AS, PL
212.87.0.0/20 #AS8890 UW-AS, PL
91.213.170.0/24 #AS8962 CUW-AS, PL
156.17.0.0/16 #AS8970 WASK WROCMAN-EDU educational part of WASK network, Wroclaw, Poland, PL
91.228.112.0/24 #AS9016 KBS-BANK-AS, PL
192.175.48.1/32 #AS9048 FIXMAP FIXMAP networks, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.53.124.0/22 #AS9085 SUPERMEDIA-AS, PL
185.83.232.0/24 #AS9085 SUPERMEDIA-AS, PL
193.42.211.0/24 #AS9085 SUPERMEDIA-AS, PL
212.75.96.0/19 #AS9085 SUPERMEDIA-AS, PL
212.180.128.0/17 #AS9085 SUPERMEDIA-AS, PL
212.109.128.0/20 #AS9103 ZIELMAN-EDU-AS Metropolitan Network ZielMAN, PL
62.3.160.0/19 #AS9112 POZMAN POZMAN-EDU, PL
150.254.0.0/16 #AS9112 POZMAN POZMAN-EDU, PL
31.178.0.0/15 #AS9141 AS9141 P4 Play UPC PL network, PL
31.186.192.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
77.236.0.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
81.18.192.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
83.144.64.0/18 #AS9141 AS9141 P4 Play UPC PL network, PL
83.175.176.0/20 #AS9141 AS9141 P4 Play UPC PL network, PL
84.10.0.0/16 #AS9141 AS9141 P4 Play UPC PL network, PL
85.222.0.0/17 #AS9141 AS9141 P4 Play UPC PL network, PL
87.206.0.0/15 #AS9141 AS9141 P4 Play UPC PL network, PL
89.64.0.0/12 #AS9141 AS9141 P4 Play UPC PL network, PL
91.150.192.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
91.238.60.0/24 #AS9141 AS9141 P4 Play UPC PL network, PL
91.247.147.0/24 #AS9141 AS9141 P4 Play UPC PL network, PL
92.244.32.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
94.75.64.0/18 #AS9141 AS9141 P4 Play UPC PL network, PL
94.172.0.0/16 #AS9141 AS9141 P4 Play UPC PL network, PL
95.158.64.0/18 #AS9141 AS9141 P4 Play UPC PL network, PL
178.73.0.0/18 #AS9141 AS9141 P4 Play UPC PL network, PL
185.182.244.0/22 #AS9141 AS9141 P4 Play UPC PL network, PL
188.93.160.0/21 #AS9141 AS9141 P4 Play UPC PL network, PL
193.47.158.0/23 #AS9141 AS9141 P4 Play UPC PL network, PL
193.47.160.0/24 #AS9141 AS9141 P4 Play UPC PL network, PL
193.238.24.0/24 #AS9141 AS9141 P4 Play UPC PL network, PL
194.187.40.0/22 #AS9141 AS9141 P4 Play UPC PL network, PL
195.34.208.0/22 #AS9141 AS9141 P4 Play UPC PL network, PL
212.76.32.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
213.134.160.0/19 #AS9141 AS9141 P4 Play UPC PL network, PL
217.119.64.0/20 #AS9141 AS9141 P4 Play UPC PL network, PL
5.201.0.0/17 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
87.246.192.0/19 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
87.246.240.0/20 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
185.76.104.0/22 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
192.188.234.0/24 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
212.182.0.0/18 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
212.182.64.0/20 #AS12324 LUBMAN-EDU-AS Poland, Lublin, PL
91.229.26.0/23 #AS12328 ALAN-SYSTEMS-RYBNIK-AS, PL
87.246.224.0/20 #AS12346 LUBMAN-COM-AS Poland, Lublin, PL
192.188.233.0/24 #AS12346 LUBMAN-COM-AS Poland, Lublin, PL
192.188.235.0/24 #AS12346 LUBMAN-COM-AS Poland, Lublin, PL
212.182.80.0/20 #AS12346 LUBMAN-COM-AS Poland, Lublin, PL
212.182.96.0/19 #AS12346 LUBMAN-COM-AS Poland, Lublin, PL
158.75.0.0/17 #AS12423 TORMAN-EDU Torun Regional Computer Network, PL
194.29.128.0/19 #AS12464 PW-NET, PL
194.29.160.0/20 #AS12464 PW-NET, PL
194.29.176.0/22 #AS12464 PW-NET, PL
192.175.48.1/32 #AS12476 ASTER-CITY-CABLE-AS, PL - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
83.175.160.0/24 #AS12580 OMNITEC Warsaw, Poland, PL
83.175.174.0/23 #AS12580 OMNITEC Warsaw, Poland, PL
46.238.192.0/19 #AS12618 PL-BYDMAN-COM Commercial Users, PL
46.238.224.0/22 #AS12618 PL-BYDMAN-COM Commercial Users, PL
46.238.232.0/24 #AS12618 PL-BYDMAN-COM Commercial Users, PL
46.238.248.0/21 #AS12618 PL-BYDMAN-COM Commercial Users, PL
46.239.144.0/20 #AS12618 PL-BYDMAN-COM Commercial Users, PL
46.239.160.0/20 #AS12618 PL-BYDMAN-COM Commercial Users, PL
89.191.144.0/21 #AS12618 PL-BYDMAN-COM Commercial Users, PL
89.191.154.0/23 #AS12618 PL-BYDMAN-COM Commercial Users, PL
89.191.156.0/22 #AS12618 PL-BYDMAN-COM Commercial Users, PL
94.141.128.0/19 #AS12618 PL-BYDMAN-COM Commercial Users, PL
212.122.216.0/21 #AS12618 PL-BYDMAN-COM Commercial Users, PL
87.239.199.0/24 #AS12642 LEON-AS2 LEON-AS2, PL
91.195.191.0/24 #AS12642 LEON-AS2 LEON-AS2, PL
5.226.64.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
5.226.128.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
5.226.135.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
37.128.48.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
37.128.64.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
46.175.14.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
46.182.96.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
50.114.66.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
50.114.69.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
62.87.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
62.89.64.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
62.111.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
62.148.64.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
62.181.160.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
62.233.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
62.244.128.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.134.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.155.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.188.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.193.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.209.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
77.65.226.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
77.252.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
78.8.0.0/14 #AS12741 AS-NETIA Warszawa 02-822, PL
78.154.64.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
81.168.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
81.210.0.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
81.219.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
82.21.69.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.21.95.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.22.185.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.23.166.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
82.23.193.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.23.247.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.24.35.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.24.60.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.24.77.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.24.193.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.24.206.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.8.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.15.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.17.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.48.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.139.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.196.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.198.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.25.201.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.26.126.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.26.148.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.26.158.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.26.203.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.29.47.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
82.143.128.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
82.160.112.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
83.238.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
84.40.152.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
84.40.216.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
84.40.236.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
85.128.0.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
85.202.54.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
87.105.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
87.204.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
87.205.0.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
87.239.216.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
89.171.0.0/16 #AS12741 AS-NETIA Warszawa 02-822, PL
91.124.152.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
91.193.84.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
91.203.16.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
91.208.78.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
91.217.142.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
91.223.134.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
91.235.149.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
91.235.152.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
91.240.152.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
93.159.0.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
93.180.160.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
95.135.148.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
95.135.184.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
95.135.212.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
96.62.232.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
96.126.148.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
139.181.39.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.12.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.16.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.50.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.54.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.58.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.62.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.118.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
168.199.122.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
176.107.104.0/21 #AS12741 AS-NETIA Warszawa 02-822, PL
178.16.121.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
178.94.144.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
178.95.28.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
185.9.124.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
185.58.160.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
185.244.96.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.28.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.36.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.40.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.44.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.48.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.54.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.58.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.62.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.66.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.74.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.78.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.80.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.242.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.246.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.250.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
189.81.254.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
192.162.48.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
193.19.104.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
193.41.192.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.91.16.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
193.192.173.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.192.181.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
193.239.100.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.5.26.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
194.28.80.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.31.32.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
194.93.126.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
194.110.116.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.47.246.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.114.160.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
195.225.68.0/24 #AS12741 AS-NETIA Warszawa 02-822, PL
195.225.70.0/23 #AS12741 AS-NETIA Warszawa 02-822, PL
205.188.220.0/22 #AS12741 AS-NETIA Warszawa 02-822, PL
212.106.0.0/20 #AS12741 AS-NETIA Warszawa 02-822, PL
213.17.128.0/17 #AS12741 AS-NETIA Warszawa 02-822, PL
213.134.128.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.146.32.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.186.64.0/19 #AS12741 AS-NETIA Warszawa 02-822, PL
213.195.128.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
213.216.64.0/18 #AS12741 AS-NETIA Warszawa 02-822, PL
