78.111.101.0/24 #AS59245 GCORELABSSA-AS-AP G-Core Labs S.A, LU
5.181.79.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.0.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.4.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.6.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.32.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.34.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.36.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.70.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.93.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.108.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.110.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.122.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.124.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.148.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.168.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.188.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.190.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.213.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.214.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.225.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.226.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.228.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.188.230.0/23 #AS202422 GHOST G-Core Labs S.A., LU
5.188.238.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.189.204.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.189.206.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.189.221.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.189.222.0/24 #AS202422 GHOST G-Core Labs S.A., LU
5.252.24.0/23 #AS202422 GHOST G-Core Labs S.A., LU
31.184.206.0/24 #AS202422 GHOST G-Core Labs S.A., LU
37.9.32.0/24 #AS202422 GHOST G-Core Labs S.A., LU
37.9.35.0/24 #AS202422 GHOST G-Core Labs S.A., LU
37.61.229.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.10.58.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.65.9.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.65.11.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.67.208.0/23 #AS202422 GHOST G-Core Labs S.A., LU
45.80.208.0/22 #AS202422 GHOST G-Core Labs S.A., LU
45.80.214.0/23 #AS202422 GHOST G-Core Labs S.A., LU
45.82.102.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.82.161.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.92.70.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.135.229.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.135.230.0/24 #AS202422 GHOST G-Core Labs S.A., LU
78.111.99.0/24 #AS202422 GHOST G-Core Labs S.A., LU
78.138.52.0/24 #AS202422 GHOST G-Core Labs S.A., LU
79.133.109.0/24 #AS202422 GHOST G-Core Labs S.A., LU
79.133.110.0/23 #AS202422 GHOST G-Core Labs S.A., LU
79.133.120.0/22 #AS202422 GHOST G-Core Labs S.A., LU
79.133.124.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.93.209.0/24 #AS202422 GHOST G-Core Labs S.A., LU
80.93.218.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.93.222.0/23 #AS202422 GHOST G-Core Labs S.A., LU
80.240.96.0/24 #AS202422 GHOST G-Core Labs S.A., LU
80.240.115.0/24 #AS202422 GHOST G-Core Labs S.A., LU
82.97.203.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.4.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.6.0/24 #AS202422 GHOST G-Core Labs S.A., LU
83.229.32.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.205.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.207.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.90.217.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.234.85.0/24 #AS202422 GHOST G-Core Labs S.A., LU
85.234.89.0/24 #AS202422 GHOST G-Core Labs S.A., LU
86.106.169.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.120.237.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.53.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.55.0/24 #AS202422 GHOST G-Core Labs S.A., LU
87.121.99.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.35.162.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.36.229.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.40.75.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.41.172.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.42.178.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.105.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.107.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.43.108.0/23 #AS202422 GHOST G-Core Labs S.A., LU
89.43.111.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.193.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.194.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.44.196.0/22 #AS202422 GHOST G-Core Labs S.A., LU
89.223.88.0/23 #AS202422 GHOST G-Core Labs S.A., LU
89.223.91.0/24 #AS202422 GHOST G-Core Labs S.A., LU
89.223.92.0/22 #AS202422 GHOST G-Core Labs S.A., LU
91.239.65.0/24 #AS202422 GHOST G-Core Labs S.A., LU
91.243.85.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.132.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.135.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.148.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.154.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.160.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.163.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.166.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.171.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.173.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.176.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.178.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.38.180.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.184.0/23 #AS202422 GHOST G-Core Labs S.A., LU
92.38.187.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.2.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.30.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.59.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.70.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.79.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.90.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.93.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.102.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.223.105.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.243.82.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.243.88.0/24 #AS202422 GHOST G-Core Labs S.A., LU
92.243.93.0/24 #AS202422 GHOST G-Core Labs S.A., LU
93.115.240.0/24 #AS202422 GHOST G-Core Labs S.A., LU
94.156.99.0/24 #AS202422 GHOST G-Core Labs S.A., LU
95.85.67.0/24 #AS202422 GHOST G-Core Labs S.A., LU
95.85.71.0/24 #AS202422 GHOST G-Core Labs S.A., LU
95.85.72.0/23 #AS202422 GHOST G-Core Labs S.A., LU
95.85.75.0/24 #AS202422 GHOST G-Core Labs S.A., LU
95.85.76.0/22 #AS202422 GHOST G-Core Labs S.A., LU
95.85.89.0/24 #AS202422 GHOST G-Core Labs S.A., LU
95.85.90.0/23 #AS202422 GHOST G-Core Labs S.A., LU
103.22.192.0/24 #AS202422 GHOST G-Core Labs S.A., LU
103.30.211.0/24 #AS202422 GHOST G-Core Labs S.A., LU
103.215.216.0/24 #AS202422 GHOST G-Core Labs S.A., LU
103.215.218.0/23 #AS202422 GHOST G-Core Labs S.A., LU
109.61.34.0/24 #AS202422 GHOST G-Core Labs S.A., LU
109.61.43.0/24 #AS202422 GHOST G-Core Labs S.A., LU
139.28.4.0/23 #AS202422 GHOST G-Core Labs S.A., LU
139.28.6.0/24 #AS202422 GHOST G-Core Labs S.A., LU
146.185.214.0/24 #AS202422 GHOST G-Core Labs S.A., LU
146.185.219.0/24 #AS202422 GHOST G-Core Labs S.A., LU
146.185.236.0/23 #AS202422 GHOST G-Core Labs S.A., LU
146.185.248.0/24 #AS202422 GHOST G-Core Labs S.A., LU
146.185.250.0/23 #AS202422 GHOST G-Core Labs S.A., LU
162.216.230.0/24 #AS202422 GHOST G-Core Labs S.A., LU
180.149.36.0/22 #AS202422 GHOST G-Core Labs S.A., LU
180.149.44.0/22 #AS202422 GHOST G-Core Labs S.A., LU
185.14.44.0/23 #AS202422 GHOST G-Core Labs S.A., LU
185.67.124.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.101.139.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.105.0.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.105.3.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.160.61.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.163.1.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.163.2.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.183.128.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.183.131.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.188.147.0/24 #AS202422 GHOST G-Core Labs S.A., LU
185.202.92.0/22 #AS202422 GHOST G-Core Labs S.A., LU
185.244.210.0/24 #AS202422 GHOST G-Core Labs S.A., LU
188.241.250.0/24 #AS202422 GHOST G-Core Labs S.A., LU
193.36.181.0/24 #AS202422 GHOST G-Core Labs S.A., LU
194.5.182.0/24 #AS202422 GHOST G-Core Labs S.A., LU
194.99.78.0/24 #AS202422 GHOST G-Core Labs S.A., LU
194.99.81.0/24 #AS202422 GHOST G-Core Labs S.A., LU
195.234.62.0/23 #AS202422 GHOST G-Core Labs S.A., LU
195.234.82.0/23 #AS202422 GHOST G-Core Labs S.A., LU
202.78.160.0/24 #AS202422 GHOST G-Core Labs S.A., LU
202.78.164.0/24 #AS202422 GHOST G-Core Labs S.A., LU
202.78.167.0/24 #AS202422 GHOST G-Core Labs S.A., LU
202.78.168.0/24 #AS202422 GHOST G-Core Labs S.A., LU
202.78.170.0/24 #AS202422 GHOST G-Core Labs S.A., LU
202.78.172.0/23 #AS202422 GHOST G-Core Labs S.A., LU
202.78.175.0/24 #AS202422 GHOST G-Core Labs S.A., LU
212.6.46.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.136.0/23 #AS202422 GHOST G-Core Labs S.A., LU
213.156.139.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.141.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.142.0/23 #AS202422 GHOST G-Core Labs S.A., LU
213.156.145.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.146.0/23 #AS202422 GHOST G-Core Labs S.A., LU
213.156.148.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.150.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.153.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.155.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.157.0/24 #AS202422 GHOST G-Core Labs S.A., LU
213.156.158.0/24 #AS202422 GHOST G-Core Labs S.A., LU
217.195.205.0/24 #AS202422 GHOST G-Core Labs S.A., LU
45.92.128.0/22 #AS58049 MTXS Erinix Sarl, LU
38.52.172.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
63.210.60.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.52.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.56.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.60.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.140.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.148.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.154.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.156.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
64.110.160.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.0.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.4.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.9.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.14.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.16.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.32.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.34.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.36.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.39.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.40.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.42.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.44.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.48.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.60.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.133.63.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.0.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.18.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.20.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.24.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.32.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
66.178.64.0/18 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
67.209.96.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
80.247.128.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
103.243.64.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
103.243.67.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
122.201.32.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
148.253.20.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
148.253.24.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
148.253.28.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
162.249.177.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
162.249.178.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
162.249.183.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
170.78.189.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
171.22.196.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
185.26.154.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
190.124.42.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
200.9.185.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
200.89.17.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
200.89.21.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
201.220.38.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
209.198.216.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
209.198.224.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
209.198.248.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.192.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.208.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.212.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.224.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.240.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.244.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.246.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
210.5.248.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.56.224.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.128.0/18 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.192.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.224.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.240.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.248.0/22 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.252.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
212.165.254.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
213.169.96.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.226.200.0/21 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.226.208.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.226.224.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.236.192.0/19 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.128.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.152.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.154.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.156.0/23 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.159.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
216.252.160.0/24 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
217.28.32.0/20 #AS12684 SES-LUX-AS SES ASTRA S.A., LU
82.158.122.0/24 #AS210559 MOONAIR G-Core Labs S.A., LU
82.158.127.0/24 #AS210559 MOONAIR G-Core Labs S.A., LU
146.185.216.0/24 #AS210559 MOONAIR G-Core Labs S.A., LU
146.19.11.0/24 #AS210103 DDPO Cedric Dasnois, LU
195.246.100.0/23 #AS47137 CHAMP-CARGOSYSTEMS-AS CHAMP Cargosystems S.A., LU
194.48.192.0/24 #AS214004 DELOITTE-LU Deloitte General Services sarl, LU
148.78.120.0/24 #AS200126 EPICGA-B1-AS Epic Games International S.a r.l., LU
94.125.200.0/21 #AS47944 CHD-AS Chambre des Deputes Luxembourg, LU
194.36.224.0/20 #AS15814 AS15814 Clearstream Services S.A., LU
185.215.70.0/23 #AS210834 LU-CIX-IT LU-CIX Management G.I.E., LU
188.93.169.0/24 #AS210834 LU-CIX-IT LU-CIX Management G.I.E., LU
188.93.172.0/22 #AS210834 LU-CIX-IT LU-CIX Management G.I.E., LU
156.133.104.0/22 #AS213785 BIL-LU Banque Internationale a Luxembourg societe anonyme, LU
78.111.132.0/24 #AS51405 MIXVOIPALT Voipgate S.A., LU
91.225.2.0/24 #AS212218 LU-DENNEMEYER Dennemeyer TechSys S.A., LU
91.237.218.0/24 #AS212882 DNXNETWORK dnx network sarl, LU
95.130.186.0/23 #AS212882 DNXNETWORK dnx network sarl, LU
95.130.188.0/22 #AS212882 DNXNETWORK dnx network sarl, LU
185.14.108.0/22 #AS212882 DNXNETWORK dnx network sarl, LU
158.64.0.0/16 #AS2602 RESTENA Fondation RESTENA, LU
185.149.136.0/22 #AS2602 RESTENA Fondation RESTENA, LU
192.103.2.0/24 #AS2602 RESTENA Fondation RESTENA, LU
192.172.253.0/24 #AS2602 RESTENA Fondation RESTENA, LU
193.168.1.0/24 #AS2602 RESTENA Fondation RESTENA, LU
193.168.64.0/18 #AS2602 RESTENA Fondation RESTENA, LU
31.22.120.0/21 #AS197692 CONOSTIX Conostix S.A., LU
185.131.0.0/23 #AS197692 CONOSTIX Conostix S.A., LU
185.131.2.0/24 #AS197692 CONOSTIX Conostix S.A., LU
185.46.239.0/24 #AS200949 EPPO European Public Prosecutor's Office, LU
31.172.144.0/21 #AS8632 LOL-AS Luxembourg Online S.A., LU
83.222.32.0/19 #AS8632 LOL-AS Luxembourg Online S.A., LU
94.103.208.0/20 #AS8632 LOL-AS Luxembourg Online S.A., LU
185.6.232.0/22 #AS8632 LOL-AS Luxembourg Online S.A., LU
192.160.22.0/24 #AS8632 LOL-AS Luxembourg Online S.A., LU
195.218.0.0/19 #AS8632 LOL-AS Luxembourg Online S.A., LU
185.149.174.0/24 #AS57231 INNOVA-AM Innova Co S.A.R.L., LU
64.187.108.0/24 #AS198095 EBRC POST Telecom S.A., LU
91.102.35.0/24 #AS198095 EBRC POST Telecom S.A., LU
176.65.72.0/21 #AS198095 EBRC POST Telecom S.A., LU
185.69.224.0/22 #AS198095 EBRC POST Telecom S.A., LU
83.171.216.0/22 #AS41273 ACETT Antenne Collective Ettelbruck ASBL, LU
147.67.0.0/16 #AS42848 EC-AS European Commission, LU
158.166.0.0/15 #AS42848 EC-AS European Commission, LU
158.168.0.0/15 #AS42848 EC-AS European Commission, LU
185.232.234.0/24 #AS211999 LUXPROVIDE LuxProvide S.A., LU
194.50.95.0/24 #AS57644 GHISHIN GhiShin S.A., LU
80.90.32.0/19 #AS9008 ASN-VO Visual Online S.A., LU
85.93.192.0/19 #AS9008 ASN-VO Visual Online S.A., LU
109.69.240.0/21 #AS9008 ASN-VO Visual Online S.A., LU
185.197.98.0/23 #AS9008 ASN-VO Visual Online S.A., LU
185.211.232.0/22 #AS9008 ASN-VO Visual Online S.A., LU
195.200.240.0/23 #AS9008 ASN-VO Visual Online S.A., LU
207.244.196.0/24 #AS9008 ASN-VO Visual Online S.A., LU
103.89.144.0/22 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.11.40.0/23 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.11.42.0/24 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.42.216.0/24 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.42.218.0/24 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.164.63.0/24 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
202.155.188.0/22 #AS61327 MTXC-AS MTX Connect S. a r.l., LU
185.50.253.0/24 #AS215667 CYCLOP Cyclop S.a r.l., LU
185.254.37.0/24 #AS215667 CYCLOP Cyclop S.a r.l., LU
5.63.128.0/21 #AS49813 INNOVA Innova Co S.A.R.L., LU
109.105.128.0/20 #AS49813 INNOVA Innova Co S.A.R.L., LU
109.105.144.0/21 #AS49813 INNOVA Innova Co S.A.R.L., LU
185.30.172.0/22 #AS60497 ICT-MEDIA Uwe Zeidler, LU
87.254.96.0/19 #AS34683 AS-TELKEATELECOM TELKEA TELECOM SA, LU
185.69.216.0/22 #AS34683 AS-TELKEATELECOM TELKEA TELECOM SA, LU
195.137.228.0/23 #AS34683 AS-TELKEATELECOM TELKEA TELECOM SA, LU
212.24.192.0/19 #AS34683 AS-TELKEATELECOM TELKEA TELECOM SA, LU
5.149.112.0/21 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
45.67.254.0/23 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
153.92.48.0/20 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
178.251.160.0/21 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
185.4.124.0/22 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
185.123.216.0/22 #AS29467 LUXNETWORK LUXNETWORK S.A., LU
185.65.0.0/24 #AS201740 SODRU-LU SODRU S.A., LU
194.99.159.0/24 #AS211018 VDL Administration Communale Luxemberg, LU
31.216.144.0/23 #AS203055 MEGA-LIMITED-AS Datacenter Luxembourg S.A., LU
31.216.147.0/24 #AS203055 MEGA-LIMITED-AS Datacenter Luxembourg S.A., LU
31.216.148.0/24 #AS203055 MEGA-LIMITED-AS Datacenter Luxembourg S.A., LU
66.203.124.0/23 #AS203055 MEGA-LIMITED-AS Datacenter Luxembourg S.A., LU
89.44.168.0/23 #AS203055 MEGA-LIMITED-AS Datacenter Luxembourg S.A., LU
194.79.36.0/22 #AS202438 ENCEVO Encevo S.A, LU
185.134.76.0/23 #AS50754 C2D C2D System House Luxembourg SA, LU
185.254.20.0/22 #AS204299 KPMG-LU KPMG Audit S.a r.l., LU
