44.32.103.0/24 #AS138435 YUETAU-AS-HK YuetAu Network, HK
42.200.46.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
42.200.55.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
42.200.56.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
42.200.64.0/18 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
42.200.128.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
45.192.144.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
45.202.224.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
58.152.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
65.181.64.0/19 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
72.255.224.0/19 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
94.190.208.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
94.190.224.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
103.233.232.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
112.118.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
112.120.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.6.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.55.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.167.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.179.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.180.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.184.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.190.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.192.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.253.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
113.28.254.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
116.48.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
119.236.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
125.214.217.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
154.88.80.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
154.213.16.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
156.225.160.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
168.70.0.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
168.70.176.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
173.248.239.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.202.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.204.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.215.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.216.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.4.220.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.78.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.81.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.88.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.69.94.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.4.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.33.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.43.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.44.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.46.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.65.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.67.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.72.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.75.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.78.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.88.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.98.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.100.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.102.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.129.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.154.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.161.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.165.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.179.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.181.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.182.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.195.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.206.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.227.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.248.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.82.254.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.22.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.43.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.44.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.60.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.64.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.66.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.74.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.78.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.102.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.104.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.106.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.116.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.124.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.85.200.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.131.32.0/21 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.131.43.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.131.45.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.180.162.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.180.168.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
202.180.172.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.86.142.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.86.151.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.86.155.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.86.176.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.132.2.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.198.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
203.218.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
205.252.144.0/21 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
206.161.64.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
207.176.96.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
207.226.0.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
209.9.192.0/20 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.21.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.28.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.56.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.63.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.73.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.75.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.101.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.104.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.123.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.164.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.199.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.221.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.176.251.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.28.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.33.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.105.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.109.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.113.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.118.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.150.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.152.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.178.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.191.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.195.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.200.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.204.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.207.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
210.177.234.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
218.102.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
218.103.32.0/19 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
218.103.64.0/18 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
218.103.128.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
218.250.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.73.0.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.76.0.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.76.128.0/18 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.76.224.0/19 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.77.0.0/16 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
219.78.0.0/15 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.2.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.9.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.10.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.56.0/22 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.75.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.78.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.84.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.141.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.149.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.163.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.164.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.224.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.241.250.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.246.32.0/19 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.246.64.0/18 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
220.246.128.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.7.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.11.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.34.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.42.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.75.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.82.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.88.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.90.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.104.0/23 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.109.0/24 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
223.197.128.0/17 #AS4760 HKTIMS-AP PCCW IMS Limited, HK
103.250.176.0/23 #AS134795 SOUTHASIAUNIVERSAL-AS-AP South Asia Universal Limited, HK
103.250.179.0/24 #AS134795 SOUTHASIAUNIVERSAL-AS-AP South Asia Universal Limited, HK
202.72.228.0/22 #AS134795 SOUTHASIAUNIVERSAL-AS-AP South Asia Universal Limited, HK
39.109.67.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.68.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.70.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.72.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.74.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.76.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.78.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.80.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.82.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.84.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.88.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.93.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.94.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
39.109.124.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
45.196.90.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.64.0/20 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.80.0/22 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.84.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.86.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.88.0/22 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
61.15.97.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
103.82.216.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
103.98.14.0/24 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
103.119.132.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
103.120.228.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
103.227.128.0/23 #AS149175 UFWDTL-AS-AP UNION FU WAH DIGITAL TECHNOLOGY LIMITED, HK
