23.136.248.0/24 #AS886 SBH-IX-SERVICES - COLLECTIVITE DE SAINT BARTHELEMY, FR
163.173.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.33.159.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.44.66.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.44.76.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.174.0/23 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.176.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.190.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.215.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.216.0/23 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.54.218.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.70.0.0/17 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.28.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.105.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.106.0/23 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.108.0/23 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.148.0/23 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.173.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.93.220.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.0.0/17 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.128.0/22 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.148.0/22 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.152.0/21 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.164.0/24 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.216.0/21 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
192.134.240.0/20 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
193.48.0.0/14 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
193.52.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
193.54.0.0/15 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
193.56.4.0/22 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.57.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.167.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.199.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.214.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
194.254.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.83.0.0/16 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.98.224.0/19 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
195.220.0.0/15 #AS2200 FR-RENATER Reseau National de telecommunications pour la Technologie, FR
161.105.128.0/17 #AS2278 ORANGELABS Orange Labs OLPS, FR
161.106.0.0/16 #AS2278 ORANGELABS Orange Labs OLPS, FR
192.144.77.0/24 #AS2278 ORANGELABS Orange Labs OLPS, FR
192.175.48.1/32 #AS2279 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
90.84.11.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.14.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.16.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.39.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.40.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.154.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.168.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.176.0/20 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.192.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.240.0/21 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.251.0/24 #AS2280 OCBHONEY OCB public cloud network, FR
90.84.252.0/23 #AS2280 OCBHONEY OCB public cloud network, FR
192.175.48.1/32 #AS2282 GILAS-DP PILM, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2283 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2284 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
90.84.160.0/24 #AS2285 OCB_HONEY_CDN_ASN OCB Orange Cloud Business CDN ASN, FR
90.84.164.0/24 #AS2285 OCB_HONEY_CDN_ASN OCB Orange Cloud Business CDN ASN, FR
193.251.192.0/22 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
193.251.196.0/23 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
193.251.224.0/22 #AS2286 VICTORIA-SN-OL-AS Victoria secure network Orange labs, FR
90.84.138.0/23 #AS2287 IOT-CADV-OBS-AS, FR
90.84.157.0/24 #AS2287 IOT-CADV-OBS-AS, FR
90.84.158.0/24 #AS2287 IOT-CADV-OBS-AS, FR
90.84.166.0/23 #AS2287 IOT-CADV-OBS-AS, FR
90.84.28.0/23 #AS2288 OL-AS, FR
90.84.30.0/24 #AS2288 OL-AS, FR
192.175.48.1/32 #AS2289 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2290 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2291 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2292 OCNB OCNB Network, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2293 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2294 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2295 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2296 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2297 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2298 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2299 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2301 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2302 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2303 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2304 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2305 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2306 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2307 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2308 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2309 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2340 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2341 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2342 FRANCE-TELECOM-AS Direction de Systeme dInformation, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2343 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2344 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2345 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2346 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2347 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2348 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2349 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2370 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2371 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2372 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2373 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2374 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2375 FRANCE-TELECOM-AS, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
86.232.0.0/16 #AS2376 BLEU-AS, FR
90.72.0.0/16 #AS2376 BLEU-AS, FR
90.97.0.0/17 #AS2376 BLEU-AS, FR
192.190.129.0/24 #AS2376 BLEU-AS, FR
192.190.130.0/24 #AS2376 BLEU-AS, FR
192.175.48.1/32 #AS2377 AS-SD_INTERNET Service Flexible Internet, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2481 FR-INRIA-AS2481 INRIA, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2482 FR-IGN INSTITUT NATIONAL DE LINFORMATION GEOGRAPHIQUE ET FORESTIERE, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
192.175.48.1/32 #AS2483 NIC-FR-AS2483 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
194.0.9.0/24 #AS2484 NIC-FR-DNS-ANYCAST-AFNIC AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
192.134.4.0/22 #AS2485 NIC-FR-SITES-SQY-TH3 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
192.134.92.0/22 #AS2485 NIC-FR-SITES-SQY-TH3 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
192.93.0.0/24 #AS2486 NIC-FR-DNS-UNICAST-PARIS2 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
192.134.0.0/22 #AS2486 NIC-FR-DNS-UNICAST-PARIS2 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
194.0.9.0/24 #AS2486 NIC-FR-DNS-UNICAST-PARIS2 AFNIC Association Francaise pour le Nommage Internet en Cooperation, FR
192.175.48.1/32 #AS2917 AS2917, FR - !!ASN BGP NULL OR PRIVATE PREFIX!! - Using prisoner.iana.org to retain ASN info
185.100.184.0/22 #AS3196 AS_7SPACE, FR
2.3.0.0/16 #AS3215 France Telecom - Orange, FR
2.4.0.0/14 #AS3215 France Telecom - Orange, FR
2.8.0.0/13 #AS3215 France Telecom - Orange, FR
62.160.0.0/15 #AS3215 France Telecom - Orange, FR
80.8.0.0/15 #AS3215 France Telecom - Orange, FR
80.10.184.0/21 #AS3215 France Telecom - Orange, FR
80.10.192.0/22 #AS3215 France Telecom - Orange, FR
80.10.200.0/22 #AS3215 France Telecom - Orange, FR
80.10.250.0/23 #AS3215 France Telecom - Orange, FR
80.11.0.0/16 #AS3215 France Telecom - Orange, FR
80.12.0.0/18 #AS3215 France Telecom - Orange, FR
80.12.64.0/23 #AS3215 France Telecom - Orange, FR
80.12.80.0/20 #AS3215 France Telecom - Orange, FR
80.12.103.0/24 #AS3215 France Telecom - Orange, FR
80.12.104.0/21 #AS3215 France Telecom - Orange, FR
80.12.124.0/22 #AS3215 France Telecom - Orange, FR
80.12.128.0/18 #AS3215 France Telecom - Orange, FR
80.12.195.0/24 #AS3215 France Telecom - Orange, FR
80.12.196.0/23 #AS3215 France Telecom - Orange, FR
80.12.200.0/21 #AS3215 France Telecom - Orange, FR
80.12.212.0/22 #AS3215 France Telecom - Orange, FR
80.12.216.0/21 #AS3215 France Telecom - Orange, FR
80.12.224.0/22 #AS3215 France Telecom - Orange, FR
80.12.240.0/20 #AS3215 France Telecom - Orange, FR
80.13.0.0/16 #AS3215 France Telecom - Orange, FR
80.14.0.0/16 #AS3215 France Telecom - Orange, FR
80.15.0.0/17 #AS3215 France Telecom - Orange, FR
80.15.128.0/18 #AS3215 France Telecom - Orange, FR
80.15.192.0/19 #AS3215 France Telecom - Orange, FR
80.15.255.0/24 #AS3215 France Telecom - Orange, FR
81.48.0.0/14 #AS3215 France Telecom - Orange, FR
81.52.232.0/22 #AS3215 France Telecom - Orange, FR
81.53.0.0/16 #AS3215 France Telecom - Orange, FR
81.80.0.0/16 #AS3215 France Telecom - Orange, FR
81.248.0.0/14 #AS3215 France Telecom - Orange, FR
81.252.0.0/16 #AS3215 France Telecom - Orange, FR
81.254.0.0/15 #AS3215 France Telecom - Orange, FR
82.120.0.0/13 #AS3215 France Telecom - Orange, FR
83.112.0.0/14 #AS3215 France Telecom - Orange, FR
83.192.0.0/13 #AS3215 France Telecom - Orange, FR
83.200.128.0/17 #AS3215 France Telecom - Orange, FR
83.201.0.0/16 #AS3215 France Telecom - Orange, FR
83.202.0.0/16 #AS3215 France Telecom - Orange, FR
83.203.0.0/17 #AS3215 France Telecom - Orange, FR
83.204.0.0/15 #AS3215 France Telecom - Orange, FR
83.206.0.0/16 #AS3215 France Telecom - Orange, FR
86.192.0.0/12 #AS3215 France Telecom - Orange, FR
86.208.0.0/14 #AS3215 France Telecom - Orange, FR
86.212.0.0/17 #AS3215 France Telecom - Orange, FR
86.213.0.0/16 #AS3215 France Telecom - Orange, FR
86.214.0.0/15 #AS3215 France Telecom - Orange, FR
86.216.0.0/13 #AS3215 France Telecom - Orange, FR
86.225.0.0/16 #AS3215 France Telecom - Orange, FR
86.227.0.0/16 #AS3215 France Telecom - Orange, FR
86.228.0.0/15 #AS3215 France Telecom - Orange, FR
86.233.0.0/16 #AS3215 France Telecom - Orange, FR
86.234.0.0/15 #AS3215 France Telecom - Orange, FR
86.236.0.0/14 #AS3215 France Telecom - Orange, FR
86.240.0.0/17 #AS3215 France Telecom - Orange, FR
86.241.0.0/16 #AS3215 France Telecom - Orange, FR
86.242.0.0/15 #AS3215 France Telecom - Orange, FR
86.244.0.0/14 #AS3215 France Telecom - Orange, FR
86.248.0.0/15 #AS3215 France Telecom - Orange, FR
86.250.0.0/16 #AS3215 France Telecom - Orange, FR
86.252.0.0/15 #AS3215 France Telecom - Orange, FR
86.254.0.0/16 #AS3215 France Telecom - Orange, FR
87.236.72.0/24 #AS3215 France Telecom - Orange, FR
87.238.104.0/21 #AS3215 France Telecom - Orange, FR
90.0.0.0/11 #AS3215 France Telecom - Orange, FR
90.32.0.0/14 #AS3215 France Telecom - Orange, FR
90.36.0.0/17 #AS3215 France Telecom - Orange, FR
90.37.0.0/16 #AS3215 France Telecom - Orange, FR
90.38.0.0/15 #AS3215 France Telecom - Orange, FR
90.40.0.0/13 #AS3215 France Telecom - Orange, FR
90.48.0.0/12 #AS3215 France Telecom - Orange, FR
90.65.0.0/16 #AS3215 France Telecom - Orange, FR
90.66.0.0/16 #AS3215 France Telecom - Orange, FR
90.70.0.0/16 #AS3215 France Telecom - Orange, FR
90.73.0.0/16 #AS3215 France Telecom - Orange, FR
90.76.0.0/16 #AS3215 France Telecom - Orange, FR
90.78.0.0/15 #AS3215 France Telecom - Orange, FR
90.80.0.0/16 #AS3215 France Telecom - Orange, FR
90.82.48.0/20 #AS3215 France Telecom - Orange, FR
90.82.64.0/20 #AS3215 France Telecom - Orange, FR
90.82.80.0/22 #AS3215 France Telecom - Orange, FR
90.82.84.0/24 #AS3215 France Telecom - Orange, FR
90.82.192.0/18 #AS3215 France Telecom - Orange, FR
90.83.0.0/16 #AS3215 France Telecom - Orange, FR
90.84.0.0/22 #AS3215 France Telecom - Orange, FR
90.84.8.0/23 #AS3215 France Telecom - Orange, FR
90.85.0.0/16 #AS3215 France Telecom - Orange, FR
90.87.0.0/16 #AS3215 France Telecom - Orange, FR
90.89.0.0/16 #AS3215 France Telecom - Orange, FR
90.90.0.0/15 #AS3215 France Telecom - Orange, FR
90.92.0.0/15 #AS3215 France Telecom - Orange, FR
90.98.0.0/15 #AS3215 France Telecom - Orange, FR
90.100.0.0/14 #AS3215 France Telecom - Orange, FR
90.104.0.0/15 #AS3215 France Telecom - Orange, FR
90.107.0.0/16 #AS3215 France Telecom - Orange, FR
90.108.0.0/15 #AS3215 France Telecom - Orange, FR
90.110.0.0/16 #AS3215 France Telecom - Orange, FR
90.112.0.0/13 #AS3215 France Telecom - Orange, FR
90.120.0.0/15 #AS3215 France Telecom - Orange, FR
90.122.0.0/16 #AS3215 France Telecom - Orange, FR
90.125.0.0/16 #AS3215 France Telecom - Orange, FR
90.126.0.0/15 #AS3215 France Telecom - Orange, FR
91.132.108.0/22 #AS3215 France Telecom - Orange, FR
91.199.11.0/24 #AS3215 France Telecom - Orange, FR
91.213.237.0/24 #AS3215 France Telecom - Orange, FR
91.223.249.0/24 #AS3215 France Telecom - Orange, FR
91.230.66.0/23 #AS3215 France Telecom - Orange, FR
92.128.0.0/13 #AS3215 France Telecom - Orange, FR
92.136.0.0/14 #AS3215 France Telecom - Orange, FR
92.140.0.0/15 #AS3215 France Telecom - Orange, FR
92.142.0.0/17 #AS3215 France Telecom - Orange, FR
92.142.128.0/18 #AS3215 France Telecom - Orange, FR
92.142.192.0/19 #AS3215 France Telecom - Orange, FR
92.143.0.0/16 #AS3215 France Telecom - Orange, FR
92.144.0.0/15 #AS3215 France Telecom - Orange, FR
92.146.0.0/17 #AS3215 France Telecom - Orange, FR
92.147.0.0/16 #AS3215 France Telecom - Orange, FR
92.148.0.0/14 #AS3215 France Telecom - Orange, FR
92.152.0.0/13 #AS3215 France Telecom - Orange, FR
92.160.0.0/15 #AS3215 France Telecom - Orange, FR
92.162.0.0/16 #AS3215 France Telecom - Orange, FR
92.163.0.0/17 #AS3215 France Telecom - Orange, FR
92.165.128.0/18 #AS3215 France Telecom - Orange, FR
92.167.0.0/16 #AS3215 France Telecom - Orange, FR
92.168.0.0/14 #AS3215 France Telecom - Orange, FR
92.173.0.0/17 #AS3215 France Telecom - Orange, FR
92.173.128.0/18 #AS3215 France Telecom - Orange, FR
92.173.192.0/19 #AS3215 France Telecom - Orange, FR
92.173.224.0/20 #AS3215 France Telecom - Orange, FR
92.173.240.0/22 #AS3215 France Telecom - Orange, FR
92.174.0.0/15 #AS3215 France Telecom - Orange, FR
92.180.128.0/18 #AS3215 France Telecom - Orange, FR
92.182.3.0/24 #AS3215 France Telecom - Orange, FR
92.182.4.0/23 #AS3215 France Telecom - Orange, FR
92.182.8.0/23 #AS3215 France Telecom - Orange, FR
92.182.11.0/24 #AS3215 France Telecom - Orange, FR
92.182.13.0/24 #AS3215 France Telecom - Orange, FR
92.182.17.0/24 #AS3215 France Telecom - Orange, FR
92.182.21.0/24 #AS3215 France Telecom - Orange, FR
92.182.22.0/23 #AS3215 France Telecom - Orange, FR
92.182.24.0/21 #AS3215 France Telecom - Orange, FR
92.182.32.0/22 #AS3215 France Telecom - Orange, FR
92.182.36.0/23 #AS3215 France Telecom - Orange, FR
92.182.38.0/24 #AS3215 France Telecom - Orange, FR
92.182.40.0/23 #AS3215 France Telecom - Orange, FR
92.182.42.0/24 #AS3215 France Telecom - Orange, FR
92.182.44.0/24 #AS3215 France Telecom - Orange, FR
92.182.47.0/24 #AS3215 France Telecom - Orange, FR
92.182.48.0/22 #AS3215 France Telecom - Orange, FR
92.182.53.0/24 #AS3215 France Telecom - Orange, FR
92.182.54.0/23 #AS3215 France Telecom - Orange, FR
92.182.57.0/24 #AS3215 France Telecom - Orange, FR
92.182.58.0/23 #AS3215 France Telecom - Orange, FR
92.182.60.0/24 #AS3215 France Telecom - Orange, FR
92.182.62.0/23 #AS3215 France Telecom - Orange, FR
92.182.64.0/24 #AS3215 France Telecom - Orange, FR
92.182.66.0/23 #AS3215 France Telecom - Orange, FR
92.182.68.0/22 #AS3215 France Telecom - Orange, FR
92.182.72.0/24 #AS3215 France Telecom - Orange, FR
92.182.76.0/22 #AS3215 France Telecom - Orange, FR
92.182.80.0/22 #AS3215 France Telecom - Orange, FR
92.182.84.0/24 #AS3215 France Telecom - Orange, FR
92.182.86.0/23 #AS3215 France Telecom - Orange, FR
92.182.88.0/22 #AS3215 France Telecom - Orange, FR
92.182.92.0/23 #AS3215 France Telecom - Orange, FR
92.182.95.0/24 #AS3215 France Telecom - Orange, FR
92.182.96.0/24 #AS3215 France Telecom - Orange, FR
92.182.98.0/23 #AS3215 France Telecom - Orange, FR
92.182.101.0/24 #AS3215 France Telecom - Orange, FR
92.182.102.0/23 #AS3215 France Telecom - Orange, FR
92.182.104.0/23 #AS3215 France Telecom - Orange, FR
92.182.106.0/24 #AS3215 France Telecom - Orange, FR
92.182.108.0/22 #AS3215 France Telecom - Orange, FR
92.182.112.0/21 #AS3215 France Telecom - Orange, FR
92.182.122.0/23 #AS3215 France Telecom - Orange, FR
92.182.124.0/22 #AS3215 France Telecom - Orange, FR
92.182.128.0/23 #AS3215 France Telecom - Orange, FR
92.182.131.0/24 #AS3215 France Telecom - Orange, FR
92.182.132.0/22 #AS3215 France Telecom - Orange, FR
92.182.136.0/21 #AS3215 France Telecom - Orange, FR
92.182.144.0/21 #AS3215 France Telecom - Orange, FR
